id_rumah_sakit,root_cause_primary,root_cause_secondary,root_cause_multilabel,root_cause_strength,root_cause_confidence_gap,cause_score_it_capability,cause_score_infrastructure,cause_score_adoption,cause_score_investment_conversion,cause_score_capacity,cause_score_integration
RS0096,Tekanan Kapasitas,,Tekanan Kapasitas,0.8125,0.3125,0.3125,0.125,0.5,0.0,0.8125,0.0
RS0097,Kesenjangan Adopsi,Kesenjangan Kapabilitas IT,Kesenjangan Adopsi; Kesenjangan Kapabilitas IT; Gap Konversi Investasi — indikator relatif,0.8672566371681416,0.02212389380530977,0.8451327433628318,0.37168141592920356,0.8672566371681416,0.7787610619469026,0.6238938053097345,0.0
RS0098,Kesenjangan Infrastruktur,,Kesenjangan Infrastruktur,0.9797297297297297,0.5337837837837838,0.33108108108108103,0.9797297297297297,0.44594594594594594,0.44594594594594594,0.43243243243243246,0.0
RS0099,Tidak ada bottleneck dominan,Kesenjangan Kapabilitas IT,Tekanan Kapasitas; Kesenjangan Kapabilitas IT,0.6986301369863013,0.047945205479452024,0.6506849315068493,0.5616438356164384,0.09589041095890416,0.0,0.6986301369863013,0.0
RS0100,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.6216216216216216,0.10135135135135132,0.3513513513513513,0.013513513513513487,0.013513513513513487,0.6216216216216216,0.5202702702702703,0.0
RS0101,Kesenjangan Integrasi,,Kesenjangan Integrasi,1.0,0.3584070796460177,0.4690265486725663,0.5929203539823009,0.34513274336283184,0.0,0.6415929203539823,1.0
RS0102,Tidak ada bottleneck dominan,,Kesenjangan Infrastruktur,0.7168141592920354,0.1415929203539823,0.3008849557522124,0.7168141592920354,0.4601769911504425,0.0,0.5752212389380531,0.0
RS0103,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.589041095890411,0.21917808219178087,0.06849315068493156,0.28767123287671237,0.31506849315068497,0.589041095890411,0.3698630136986301,0.0
RS0104,Kesenjangan Kapabilitas IT,Kesenjangan Adopsi,Kesenjangan Kapabilitas IT; Kesenjangan Adopsi; Kesenjangan Infrastruktur,0.8378378378378378,0.05405405405405406,0.8378378378378378,0.7567567567567568,0.7837837837837838,0.5135135135135135,0.5878378378378378,0.0
RS0105,Kesenjangan Kapabilitas IT,Kesenjangan Infrastruktur,Kesenjangan Kapabilitas IT; Kesenjangan Infrastruktur; Tekanan Kapasitas,0.7787610619469026,0.02654867256637161,0.7787610619469026,0.752212389380531,0.33628318584070793,0.0,0.6769911504424779,0.0
RS0106,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.25,0.0625,0.25,0.0,0.0,0.0,0.1875,0.0
RS0107,Kesenjangan Kapabilitas IT,,Kesenjangan Kapabilitas IT,0.7876106194690266,0.24778761061946908,0.7876106194690266,0.35398230088495575,0.2743362831858407,0.5398230088495575,0.4601769911504425,0.0
RS0108,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.47787610619469023,0.02654867256637161,0.327433628318584,0.07964601769911506,0.47787610619469023,0.0,0.4513274336283186,0.0
RS0109,Kesenjangan Integrasi,,Kesenjangan Integrasi,1.0,0.35398230088495575,0.6460176991150443,0.17699115044247793,0.06194690265486724,0.0,0.35398230088495575,1.0
RS0110,Kesenjangan Infrastruktur,Kesenjangan Kapabilitas IT,Kesenjangan Infrastruktur; Kesenjangan Kapabilitas IT; Kesenjangan Adopsi,0.9734513274336283,0.053097345132743334,0.9203539823008849,0.9734513274336283,0.663716814159292,0.0,0.6106194690265487,0.0
RS0111,Tidak ada bottleneck dominan,,Kesenjangan Kapabilitas IT,0.6986301369863014,0.2191780821917808,0.6986301369863014,0.4794520547945206,0.273972602739726,0.0,0.3150684931506849,0.0
RS0112,Tidak ada bottleneck dominan,,Tidak ada bottleneck kuat,0.5752212389380531,0.022123893805309658,0.04424778761061943,0.5530973451327434,0.2654867256637168,0.5752212389380531,0.3230088495575221,0.0
RS0113,Tidak ada bottleneck dominan,,Gap Konversi Investasi — indikator relatif,0.6849315068493151,0.08219178082191791,0.3013698630136986,0.6027397260273972,0.06849315068493156,0.6849315068493151,0.4315068493150685,0.0
